Date,GOOGL
2008-01-02,17.065309524536133
2008-01-03,17.068796157836914
2008-01-04,16.363208770751953
2008-01-07,16.170190811157227
2008-01-08,15.732590675354004
2008-01-09,16.268566131591797
2008-01-10,16.107425689697266
2008-01-11,15.896224021911621
2008-01-14,16.284008026123047
2008-01-15,15.881278991699219
2008-01-16,15.3408203125
2008-01-17,14.96324634552002
2008-01-18,14.949795722961426
2008-01-22,14.553791999816895
2008-01-23,13.663901329040527
2008-01-24,14.308219909667969
2008-01-25,14.106730461120605
2008-01-28,13.847208976745605
2008-01-29,13.711224555969238
2008-01-30,13.655186653137207
2008-01-31,14.054428100585938
2008-02-01,12.848978996276855
2008-02-04,12.339154243469238
2008-02-05,12.622336387634277
2008-02-06,12.495564460754395
2008-02-07,12.576258659362793
2008-02-08,12.86865520477295
2008-02-11,12.979984283447266
2008-02-12,12.903523445129395
2008-02-13,13.315218925476074
2008-02-14,13.256192207336426
2008-02-15,13.191187858581543
2008-02-19,12.675884246826172
2008-02-20,12.677128791809082
2008-02-21,12.524206161499023
2008-02-22,12.647242546081543
2008-02-25,12.115249633789062
2008-02-26,11.561092376708984
2008-02-27,11.777027130126953
2008-02-28,11.84004020690918
2008-02-29,11.735185623168945
2008-03-03,11.38251781463623
2008-03-04,11.073185920715332
2008-03-05,11.150394439697266
2008-03-06,10.77680492401123
2008-03-07,10.792994499206543
2008-03-10,10.301599502563477
2008-03-11,10.954632759094238
2008-03-12,10.963101387023926
2008-03-13,11.033584594726562
2008-03-14,10.906813621520996
2008-03-17,10.45726203918457
2008-03-18,10.937698364257812
2008-03-19,10.759371757507324
2008-03-20,10.797975540161133
2008-03-24,11.470685958862305
2008-03-25,11.227105140686035
2008-03-26,11.411657333374023
2008-03-27,11.060235023498535
2008-03-28,10.910799026489258
2008-03-31,10.97032356262207
2008-04-01,11.598949432373047
2008-04-02,11.598701477050781
2008-04-03,11.335195541381836
2008-04-04,11.73294448852539
2008-04-07,11.875654220581055
2008-04-08,11.651251792907715
2008-04-09,11.561092376708984
2008-04-10,11.682883262634277
2008-04-11,11.393226623535156
2008-04-14,11.249021530151367
2008-04-15,11.128975868225098
2008-04-16,11.332955360412598
2008-04-17,11.196222305297852
2008-04-18,13.434518814086914
2008-04-21,13.394171714782715
2008-04-22,13.822803497314453
2008-04-23,13.610852241516113
2008-04-24,13.524927139282227
2008-04-25,13.550331115722656
2008-04-28,13.75107479095459
2008-04-29,13.90922737121582
2008-04-30,14.303238868713379
2008-05-01,14.771221160888672
2008-05-02,14.477580070495605
2008-05-05,14.816549301147461
2008-05-06,14.603854179382324
2008-05-07,14.420544624328613
2008-05-08,14.520418167114258
2008-05-09,14.276091575622559
2008-05-12,14.568485260009766
2008-05-13,14.520170211791992
2008-05-14,14.353300094604492
2008-05-15,14.470357894897461
2008-05-16,14.447195053100586
2008-05-19,14.383683204650879
2008-05-20,14.410582542419434
2008-05-21,13.698023796081543
2008-05-22,13.684823036193848
2008-05-23,13.564278602600098
2008-05-27,13.969748497009277
2008-05-28,14.152556419372559
2008-05-29,14.520170211791992
2008-05-30,14.589906692504883
2008-06-02,14.320921897888184
2008-06-03,14.129146575927734
2008-06-04,14.251683235168457
2008-06-05,14.6023588180542
2008-06-06,14.121673583984375
2008-06-09,13.894283294677734
2008-06-10,13.802130699157715
2008-06-11,13.57872486114502
2008-06-12,13.771746635437012
2008-06-13,14.233999252319336
2008-06-16,14.266378402709961
2008-06-17,14.182942390441895
2008-06-18,14.006609916687012
2008-06-19,13.952314376831055
2008-06-20,13.609358787536621
2008-06-23,13.578973770141602
2008-06-24,13.50649642944336
2008-06-25,13.72317886352539
2008-06-26,13.170764923095703
2008-06-27,13.152085304260254
2008-06-30,13.110990524291992
2008-07-01,13.31795883178711
2008-07-02,13.126432418823242
