,Date,Ticker,Price,Sector,Total-Score,E-Score,S-Score,G-Score
127,2020-08-01,ABBV,78.98521423339844,Healthcare,31.26,0.96,18.01,12.28
128,2020-09-01,ABBV,72.2388687133789,Healthcare,31.26,0.96,18.01,12.28
129,2020-10-01,ABBV,70.18524169921875,Healthcare,30.86,0.96,18.15,11.75
130,2020-11-01,ABBV,87.42574310302734,Healthcare,30.86,0.96,18.15,11.75
131,2020-12-01,ABBV,89.57417297363281,Healthcare,30.86,0.96,18.15,11.75
132,2021-01-01,ABBV,85.67022705078125,Healthcare,29.07,0.65,17.09,11.33
133,2021-02-01,ABBV,91.12083435058594,Healthcare,29.07,0.65,17.09,11.33
134,2021-03-01,ABBV,91.52679443359375,Healthcare,29.07,0.65,17.09,11.33
135,2021-04-01,ABBV,94.30083465576172,Healthcare,29.07,0.65,17.09,11.33
136,2021-05-01,ABBV,96.90266418457031,Healthcare,29.07,0.65,17.09,11.33
137,2021-06-01,ABBV,96.42326354980469,Healthcare,29.07,0.65,17.09,11.33
138,2021-07-01,ABBV,99.55635833740234,Healthcare,29.07,0.65,17.09,11.33
139,2021-08-01,ABBV,104.54400634765625,Healthcare,29.07,0.65,17.09,11.33
140,2021-09-01,ABBV,93.36943817138672,Healthcare,27.38,0.65,16.64,10.1
141,2021-10-01,ABBV,99.25534057617188,Healthcare,27.38,0.65,16.64,10.1
142,2021-11-01,ABBV,100.99307250976562,Healthcare,27.38,0.65,16.64,10.1
143,2021-12-01,ABBV,118.61954498291016,Healthcare,27.38,0.65,16.64,10.1
144,2022-01-01,ABBV,119.92488098144531,Healthcare,27.38,0.65,16.64,10.1
145,2022-02-01,ABBV,130.79986572265625,Healthcare,28.01,1.12,16.92,9.98
146,2022-03-01,ABBV,143.49302673339844,Healthcare,28.01,1.12,16.92,9.98
147,2022-04-01,ABBV,130.01206970214844,Healthcare,28.01,1.12,16.92,9.98
148,2022-05-01,ABBV,131.55445861816406,Healthcare,28.01,1.12,16.92,9.98
149,2022-06-01,ABBV,136.7230987548828,Healthcare,28.01,1.12,16.92,9.98
150,2022-07-01,ABBV,128.10867309570312,Healthcare,28.01,1.12,16.92,9.98
151,2022-08-01,ABBV,121.15267944335938,Healthcare,27.84,1.12,16.77,9.95
152,2022-09-01,ABBV,120.92741394042969,Healthcare,27.84,1.12,16.77,9.95
153,2022-10-01,ABBV,131.91098022460938,Healthcare,27.84,1.12,16.77,9.95
154,2022-11-01,ABBV,146.70596313476562,Healthcare,27.84,1.12,16.77,9.95
155,2022-12-01,ABBV,147.09739685058594,Healthcare,27.84,1.12,16.77,9.95
156,2023-01-01,ABBV,134.4820098876953,Healthcare,27.84,1.12,16.77,9.95
157,2023-02-01,ABBV,141.41134643554688,Healthcare,27.84,1.12,16.77,9.95
158,2023-03-01,ABBV,146.43746948242188,Healthcare,27.84,1.12,16.77,9.95
159,2023-04-01,ABBV,138.85693359375,Healthcare,27.84,1.12,16.77,9.95
160,2023-05-01,ABBV,127.9310302734375,Healthcare,27.84,1.12,16.77,9.95
161,2023-06-01,ABBV,124.93582153320312,Healthcare,27.84,1.12,16.77,9.95
162,2023-07-01,ABBV,138.706298828125,Healthcare,27.84,1.12,16.77,9.95
163,2023-08-01,ABBV,137.7875518798828,Healthcare,27.84,1.12,16.77,9.95
164,2023-09-01,ABBV,139.7564697265625,Healthcare,29.93,2.38,17.19,10.36
165,2023-10-01,ABBV,132.3682861328125,Healthcare,29.93,2.38,17.19,10.36
166,2023-11-01,ABBV,134.8390655517578,Healthcare,29.93,2.38,17.19,10.36
167,2023-12-01,ABBV,146.75193786621094,Healthcare,29.93,2.38,17.19,10.36
168,2024-01-01,ABBV,155.68186950683594,Healthcare,29.93,2.38,17.19,10.36
169,2024-02-01,ABBV,168.30690002441406,Healthcare,29.93,2.38,17.19,10.36
170,2024-03-01,ABBV,174.09080505371094,Healthcare,29.93,2.38,17.19,10.36
171,2024-04-01,ABBV,155.48670959472656,Healthcare,29.93,2.38,17.19,10.36
172,2024-05-01,ABBV,155.58787536621094,Healthcare,29.93,2.38,17.19,10.36
173,2024-06-01,ABBV,165.5075225830078,Healthcare,29.93,2.38,17.19,10.36
174,2024-07-01,ABBV,178.82379150390625,Healthcare,29.93,2.38,17.19,10.36
175,2024-08-01,ABBV,191.16867065429688,Healthcare,29.93,2.38,17.19,10.36
176,2024-09-01,ABBV,192.30801391601562,Healthcare,29.93,2.38,17.19,10.36
177,2024-10-01,ABBV,198.53067016601562,Healthcare,29.93,2.38,17.19,10.36
178,2024-11-01,ABBV,179.56163024902344,Healthcare,26.1,1.78,15.7,8.62
179,2024-12-01,ABBV,174.4279327392578,Healthcare,26.1,1.78,15.7,8.62
180,2020-01-01,ABT,79.08086395263672,Healthcare,30.62,3.74,15.31,11.58
181,2020-02-01,ABT,70.20278930664062,Healthcare,30.63,3.74,15.31,11.58
182,2020-03-01,ABT,71.91617584228516,Healthcare,31.26,3.74,15.94,11.58
183,2020-04-01,ABT,83.92800903320312,Healthcare,31.26,3.74,15.94,11.58
184,2020-05-01,ABT,86.87146759033203,Healthcare,31.26,3.74,15.94,11.58
185,2020-06-01,ABT,83.67738342285156,Healthcare,31.26,3.74,15.94,11.58
186,2020-07-01,ABT,92.10646057128906,Healthcare,29.83,2.98,16.21,10.63
187,2020-08-01,ABT,100.5766830444336,Healthcare,29.83,2.98,16.21,10.63
188,2020-09-01,ABT,99.98868560791016,Healthcare,29.83,2.98,16.21,10.63
189,2020-10-01,ABT,96.5708999633789,Healthcare,29.85,2.98,16.21,10.65
190,2020-11-01,ABT,99.75963592529297,Healthcare,29.85,2.98,16.21,10.65
191,2020-12-01,ABT,100.93034362792969,Healthcare,29.85,2.98,16.21,10.65
192,2021-01-01,ABT,113.92803192138672,Healthcare,29.85,2.98,16.21,10.65
193,2021-02-01,ABT,110.86073303222656,Healthcare,29.85,2.98,16.21,10.65
194,2021-03-01,ABT,110.91625213623047,Healthcare,29.85,2.98,16.21,10.65
195,2021-04-01,ABT,111.13838195800781,Healthcare,29.85,2.98,16.21,10.65
196,2021-05-01,ABT,108.3602066040039,Healthcare,29.98,3.11,16.21,10.65
